# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
123           	smoothSolver	6.081250e-04	4.938740e-05	11	1.183500e-03	1.174240e-04	10	false	GAMG	9.002830e-04	8.973570e-05	17	true
124           	smoothSolver	6.020750e-04	4.896540e-05	11	1.162710e-03	1.156130e-04	10	false	GAMG	8.836740e-04	8.536240e-05	17	true
125           	smoothSolver	5.971450e-04	4.854570e-05	11	1.154650e-03	1.142730e-04	10	false	GAMG	8.626640e-04	8.310990e-05	17	true
126           	smoothSolver	5.916640e-04	4.809860e-05	11	1.137810e-03	1.122730e-04	10	false	GAMG	8.351710e-04	8.271450e-05	16	true
127           	smoothSolver	5.848290e-04	4.766720e-05	11	1.120840e-03	1.106860e-04	10	false	GAMG	8.188280e-04	8.125970e-05	15	true
128           	smoothSolver	5.815400e-04	4.721440e-05	11	1.098990e-03	1.088510e-04	10	false	GAMG	8.054170e-04	7.752180e-05	15	true
129           	smoothSolver	5.754250e-04	4.684060e-05	11	1.072220e-03	1.069890e-04	10	false	GAMG	7.868340e-04	7.817800e-05	14	true
130           	smoothSolver	5.686050e-04	4.646010e-05	11	1.054840e-03	1.048830e-04	10	false	GAMG	7.621600e-04	7.377980e-05	14	true
131           	smoothSolver	5.630870e-04	4.607780e-05	11	1.042040e-03	1.033350e-04	10	false	GAMG	7.370970e-04	7.035010e-05	15	true
132           	smoothSolver	5.603580e-04	4.566380e-05	11	1.027530e-03	1.014690e-04	10	false	GAMG	7.200820e-04	7.023050e-05	15	true
133           	smoothSolver	5.543130e-04	4.528320e-05	11	1.008070e-03	9.951140e-05	10	false	GAMG	7.108360e-04	6.573810e-05	16	true
134           	smoothSolver	5.509700e-04	4.487100e-05	11	9.859340e-04	9.760110e-05	10	false	GAMG	6.964130e-04	6.729330e-05	16	true
135           	smoothSolver	5.455040e-04	4.447700e-05	11	9.733210e-04	9.609410e-05	10	false	GAMG	6.828500e-04	6.767840e-05	16	true
136           	smoothSolver	5.409860e-04	4.412980e-05	11	9.610610e-04	9.437290e-05	10	false	GAMG	6.667810e-04	6.291930e-05	17	true
137           	smoothSolver	5.391180e-04	4.380280e-05	11	9.467410e-04	9.270160e-05	10	false	GAMG	6.626340e-04	6.480230e-05	16	true
138           	smoothSolver	5.350630e-04	4.344510e-05	11	9.312530e-04	9.163930e-05	10	false	GAMG	6.538550e-04	6.304340e-05	16	true
139           	smoothSolver	5.310080e-04	4.312320e-05	11	9.227490e-04	9.133470e-05	10	false	GAMG	6.469490e-04	6.215280e-05	15	true
140           	smoothSolver	5.298280e-04	5.276770e-05	10	9.211100e-04	9.080170e-05	10	false	GAMG	6.312890e-04	6.153390e-05	14	true
141           	smoothSolver	5.272020e-04	5.246020e-05	10	9.057820e-04	8.923220e-05	10	false	GAMG	6.266940e-04	6.015440e-05	14	true
142           	smoothSolver	5.234320e-04	5.216870e-05	10	8.899250e-04	8.831070e-05	10	false	GAMG	6.176860e-04	5.947010e-05	14	true
143           	smoothSolver	5.203750e-04	5.194200e-05	10	8.853100e-04	8.834370e-05	10	false	GAMG	6.134580e-04	6.075950e-05	15	true
144           	smoothSolver	5.203080e-04	5.165690e-05	10	8.921750e-04	8.819810e-05	10	false	GAMG	6.025950e-04	5.997240e-05	16	true
145           	smoothSolver	5.188880e-04	5.132720e-05	10	8.907830e-04	8.790490e-05	10	false	GAMG	6.061580e-04	5.720740e-05	18	true
146           	smoothSolver	5.162930e-04	5.099580e-05	10	8.840240e-04	8.779030e-05	10	false	GAMG	6.109620e-04	6.004490e-05	18	true
147           	smoothSolver	5.142700e-04	5.074190e-05	10	8.818730e-04	8.774450e-05	10	false	GAMG	6.215480e-04	5.990560e-05	19	true
148           	smoothSolver	5.142910e-04	5.055420e-05	10	8.895340e-04	8.782980e-05	10	false	GAMG	6.213640e-04	5.878700e-05	19	true
149           	smoothSolver	5.105190e-04	5.032110e-05	10	8.934040e-04	8.799040e-05	10	false	GAMG	6.193450e-04	5.979820e-05	19	true
150           	smoothSolver	5.094610e-04	5.003960e-05	10	8.883880e-04	8.779940e-05	10	false	GAMG	6.124480e-04	5.833370e-05	18	true
151           	smoothSolver	5.084650e-04	4.979450e-05	10	8.849180e-04	8.761260e-05	10	false	GAMG	6.202260e-04	5.992300e-05	19	true
152           	smoothSolver	5.062660e-04	4.956870e-05	10	8.883930e-04	8.767510e-05	10	false	GAMG	6.156310e-04	6.155480e-05	17	true
153           	smoothSolver	5.045840e-04	4.936640e-05	10	8.930010e-04	8.753940e-05	10	false	GAMG	6.150450e-04	6.110440e-05	17	true
154           	smoothSolver	5.035290e-04	4.915650e-05	10	8.942210e-04	8.733240e-05	10	false	GAMG	6.080200e-04	6.067470e-05	17	true
155           	smoothSolver	5.029650e-04	4.895260e-05	10	8.851950e-04	8.715790e-05	10	false	GAMG	6.135460e-04	5.778860e-05	16	true
156           	smoothSolver	5.005660e-04	4.873800e-05	10	8.816430e-04	8.688720e-05	10	false	GAMG	6.166160e-04	6.116710e-05	15	true
157           	smoothSolver	4.976150e-04	4.856830e-05	10	8.829800e-04	8.637180e-05	10	false	GAMG	6.165920e-04	5.882430e-05	16	true
158           	smoothSolver	4.962510e-04	4.834840e-05	10	8.874550e-04	8.592820e-05	10	false	GAMG	6.145680e-04	6.069790e-05	17	true
159           	smoothSolver	4.986000e-04	4.817030e-05	10	8.819920e-04	8.536340e-05	10	false	GAMG	6.253640e-04	5.895440e-05	17	true
160           	smoothSolver	4.963100e-04	4.803500e-05	10	8.745400e-04	8.477730e-05	10	false	GAMG	6.346730e-04	5.949200e-05	18	true
161           	smoothSolver	4.952440e-04	4.792640e-05	10	8.732140e-04	8.415100e-05	10	false	GAMG	6.402820e-04	6.239800e-05	18	true
162           	smoothSolver	4.931910e-04	4.773040e-05	10	8.722620e-04	8.331540e-05	10	false	GAMG	6.365670e-04	5.957700e-05	19	true
163           	smoothSolver	4.954420e-04	4.754130e-05	10	8.694120e-04	8.275280e-05	10	false	GAMG	6.380550e-04	6.257190e-05	18	true
164           	smoothSolver	4.948230e-04	4.741000e-05	10	8.585500e-04	8.218880e-05	10	false	GAMG	6.434870e-04	6.399130e-05	18	true
165           	smoothSolver	4.931370e-04	4.732170e-05	10	8.552670e-04	8.177210e-05	10	false	GAMG	6.539180e-04	6.253360e-05	18	true
166           	smoothSolver	4.912700e-04	4.716460e-05	10	8.566470e-04	8.154270e-05	10	false	GAMG	6.491650e-04	6.073760e-05	18	true
167           	smoothSolver	4.902150e-04	4.705570e-05	10	8.581240e-04	8.142490e-05	10	false	GAMG	6.467700e-04	6.344970e-05	17	true
168           	smoothSolver	4.932210e-04	4.690330e-05	10	8.542010e-04	8.122920e-05	10	false	GAMG	6.502120e-04	6.219800e-05	17	true
169           	smoothSolver	4.924560e-04	4.682090e-05	10	8.509770e-04	8.166580e-05	10	false	GAMG	6.528990e-04	6.267680e-05	16	true
170           	smoothSolver	4.930520e-04	4.670880e-05	10	8.528300e-04	8.193230e-05	10	false	GAMG	6.430370e-04	6.009540e-05	17	true
171           	smoothSolver	4.916710e-04	4.660020e-05	10	8.558630e-04	8.235620e-05	10	false	GAMG	6.395860e-04	6.228490e-05	16	true
172           	smoothSolver	4.925880e-04	4.650960e-05	10	8.643670e-04	8.271650e-05	10	false	GAMG	6.455150e-04	6.128950e-05	17	true
173           	smoothSolver	4.939630e-04	4.647410e-05	10	8.682830e-04	8.357470e-05	10	false	GAMG	6.576430e-04	6.145960e-05	17	true
174           	smoothSolver	4.920700e-04	4.639110e-05	10	8.793320e-04	8.459620e-05	10	false	GAMG	6.617970e-04	6.081900e-05	16	true
175           	smoothSolver	4.939760e-04	4.631450e-05	10	8.856190e-04	8.518510e-05	10	false	GAMG	6.703730e-04	6.533230e-05	17	true
176           	smoothSolver	4.941380e-04	4.632300e-05	10	8.928600e-04	8.563040e-05	10	false	GAMG	6.809020e-04	6.446290e-05	17	true
177           	smoothSolver	4.950080e-04	4.632380e-05	10	8.964120e-04	8.673940e-05	10	false	GAMG	6.940400e-04	6.572720e-05	17	true
178           	smoothSolver	4.960080e-04	4.626380e-05	10	9.067430e-04	8.777510e-05	10	false	GAMG	6.970700e-04	6.582320e-05	17	true
179           	smoothSolver	4.965650e-04	4.631830e-05	10	9.184890e-04	8.853950e-05	10	false	GAMG	7.021970e-04	6.939160e-05	16	true
180           	smoothSolver	4.958380e-04	4.631670e-05	10	9.222840e-04	8.943600e-05	10	false	GAMG	7.013630e-04	6.614020e-05	16	true
181           	smoothSolver	4.955750e-04	4.631360e-05	10	9.262120e-04	9.068060e-05	10	false	GAMG	7.010060e-04	6.735110e-05	16	true
182           	smoothSolver	4.965160e-04	4.629410e-05	10	9.384400e-04	9.126210e-05	10	false	GAMG	6.971090e-04	6.857680e-05	16	true
183           	smoothSolver	4.970030e-04	4.634140e-05	10	9.482560e-04	9.193560e-05	10	false	GAMG	7.021340e-04	6.838460e-05	16	true
184           	smoothSolver	4.973890e-04	4.637570e-05	10	9.544830e-04	9.300400e-05	10	false	GAMG	6.975540e-04	6.659430e-05	16	true
185           	smoothSolver	4.975240e-04	4.642920e-05	10	9.568370e-04	9.414190e-05	10	false	GAMG	7.018290e-04	6.776980e-05	15	true
